subj,trial,item,count,n,prob
326,12,short,1,4,0.25
326,13,baseline,1,4,0.25
326,13,single,3,4,0.75
341,1,related-late,1,3,0.333
341,1,related-early,2,3,0.667
341,2,baseline,1,2,0.5
341,2,related,1,2,0.5
341,3,baseline,0,2,0
341,3,related,2,2,1
341,4,repeated,1,1,1
341,4,related,0,1,0
341,5,repeated,1,1,1
341,5,related,0,1,0
341,6,baseline,1,4,0.25
341,6,repeated,3,4,0.75
341,7,baseline,0,1,0
341,7,baseline-foil,1,1,1
341,8,baseline,1,1,1
341,8,baseline-foil,0,1,0
341,9,short,2,4,0.5
341,9,short-foil,2,4,0.5
341,10,single,4,6,0.667
341,10,single-foil,2,6,0.333
341,11,baseline-foil,4,4,1
341,11,short-foil,0,4,0
341,12,baseline,1,4,0.25
341,12,short,3,4,0.75
341,13,baseline,1,4,0.25
341,13,single,3,4,0.75
343,1,related-late,2,3,0.667
343,1,related-early,1,3,0.333
343,2,baseline,1,2,0.5
343,2,related,1,2,0.5
343,3,baseline,0,2,0
343,3,related,2,2,1
343,4,repeated,0,1,0
343,4,related,1,1,1
343,5,repeated,1,1,1
343,5,related,0,1,0
343,6,baseline,1,4,0.25
343,6,repeated,3,4,0.75
343,7,baseline,1,1,1
343,7,baseline-foil,0,1,0
343,8,baseline,1,1,1
343,8,baseline-foil,0,1,0
343,9,short,3,4,0.75
343,9,short-foil,1,4,0.25
343,10,single,6,6,1
343,10,single-foil,0,6,0
343,11,baseline-foil,1,4,0.25
343,11,short-foil,3,4,0.75
343,12,baseline,0,4,0
343,12,short,4,4,1
343,13,baseline,1,4,0.25
343,13,single,3,4,0.75
344,1,related-late,1,3,0.333
344,1,related-early,2,3,0.667
344,2,baseline,0,2,0
344,2,related,2,2,1
344,3,baseline,0,2,0
344,3,related,2,2,1
344,4,repeated,1,1,1
344,4,related,0,1,0
344,5,repeated,0,1,0
344,5,related,1,1,1
344,6,baseline,1,4,0.25
344,6,repeated,3,4,0.75
344,7,baseline,0,1,0
344,7,baseline-foil,1,1,1
344,8,baseline,1,1,1
344,8,baseline-foil,0,1,0
344,9,short,4,4,1
344,9,short-foil,0,4,0
344,10,single,6,6,1
344,10,single-foil,0,6,0
344,11,baseline-foil,4,4,1
344,11,short-foil,0,4,0
344,12,baseline,1,4,0.25
344,12,short,3,4,0.75
344,13,baseline,2,4,0.5
344,13,single,2,4,0.5
345,1,related-late,1,3,0.333
345,1,related-early,2,3,0.667
345,2,baseline,0,2,0
345,2,related,2,2,1
345,3,baseline,1,2,0.5
345,3,related,1,2,0.5
345,4,repeated,0,1,0
345,4,related,1,1,1
345,5,repeated,1,1,1
345,5,related,0,1,0
345,6,baseline,0,4,0
345,6,repeated,4,4,1
345,7,baseline,1,1,1
345,7,baseline-foil,0,1,0
345,8,baseline,0,1,0
345,8,baseline-foil,1,1,1
345,9,short,1,4,0.25
345,9,short-foil,3,4,0.75
345,10,single,3,6,0.5
345,10,single-foil,3,6,0.5
345,11,baseline-foil,1,4,0.25
345,11,short-foil,3,4,0.75
345,12,baseline,1,4,0.25
345,12,short,3,4,0.75
345,13,baseline,1,4,0.25
345,13,single,3,4,0.75
346,1,related-late,2,3,0.667
346,1,related-early,1,3,0.333
346,2,baseline,2,2,1
346,2,related,0,2,0
346,3,baseline,1,2,0.5
346,3,related,1,2,0.5
346,4,repeated,1,1,1
346,4,related,0,1,0
346,5,repeated,1,1,1
346,5,related,0,1,0
346,6,baseline,3,4,0.75
346,6,repeated,1,4,0.25
346,7,baseline,1,1,1
346,7,baseline-foil,0,1,0
346,8,baseline,1,1,1
346,8,baseline-foil,0,1,0
346,9,short,3,4,0.75
346,9,short-foil,1,4,0.25
346,10,single,4,6,0.667
346,10,single-foil,2,6,0.333
346,11,baseline-foil,2,4,0.5
346,11,short-foil,2,4,0.5
346,12,baseline,2,4,0.5
346,12,short,2,4,0.5
346,13,baseline,1,4,0.25
346,13,single,3,4,0.75
347,1,related-late,2,3,0.667
347,1,related-early,1,3,0.333
347,2,baseline,1,2,0.5
347,2,related,1,2,0.5
347,3,baseline,1,2,0.5
347,3,related,1,2,0.5
347,4,repeated,1,1,1
347,4,related,0,1,0
347,5,repeated,1,1,1
347,5,related,0,1,0
347,6,baseline,0,4,0
347,6,repeated,4,4,1
347,7,baseline,1,1,1
347,7,baseline-foil,0,1,0
347,8,baseline,1,1,1
347,8,baseline-foil,0,1,0
347,9,short,4,4,1
347,9,short-foil,0,4,0
347,10,single,6,6,1
347,10,single-foil,0,6,0
347,11,baseline-foil,3,4,0.75
347,11,short-foil,1,4,0.25
347,12,baseline,0,4,0
347,12,short,4,4,1
347,13,baseline,1,4,0.25
347,13,single,3,4,0.75
348,1,related-late,3,3,1
348,1,related-early,0,3,0
348,2,baseline,1,2,0.5
348,2,related,1,2,0.5
348,3,baseline,2,2,1
348,3,related,0,2,0
348,4,repeated,1,1,1
348,4,related,0,1,0
348,5,repeated,1,1,1
348,5,related,0,1,0
348,6,baseline,2,4,0.5
348,6,repeated,2,4,0.5
348,7,baseline,0,1,0
348,7,baseline-foil,1,1,1
348,8,baseline,1,1,1
348,8,baseline-foil,0,1,0
348,9,short,4,4,1
348,9,short-foil,0,4,0
348,10,single,5,6,0.833
348,10,single-foil,1,6,0.167
348,11,baseline-foil,2,4,0.5
348,11,short-foil,2,4,0.5
348,12,baseline,3,4,0.75
348,12,short,1,4,0.25
348,13,baseline,0,4,0
348,13,single,4,4,1
349,1,related-late,2,3,0.667
349,1,related-early,1,3,0.333
349,2,baseline,1,2,0.5
349,2,related,1,2,0.5
349,3,baseline,1,2,0.5
349,3,related,1,2,0.5
349,4,repeated,1,1,1
349,4,related,0,1,0
349,5,repeated,1,1,1
349,5,related,0,1,0
349,6,baseline,0,4,0
349,6,repeated,4,4,1
349,7,baseline,1,1,1
349,7,baseline-foil,0,1,0
349,8,baseline,1,1,1
349,8,baseline-foil,0,1,0
349,9,short,4,4,1
349,9,short-foil,0,4,0
349,10,single,5,6,0.833
349,10,single-foil,1,6,0.167
349,11,baseline-foil,3,4,0.75
349,11,short-foil,1,4,0.25
349,12,baseline,0,4,0
349,12,short,4,4,1
349,13,baseline,0,4,0
349,13,single,4,4,1
350,1,related-late,2,3,0.667
350,1,related-early,1,3,0.333
350,2,baseline,2,2,1
350,2,related,0,2,0
350,3,baseline,0,2,0
350,3,related,2,2,1
350,4,repeated,1,1,1
350,4,related,0,1,0
350,5,repeated,1,1,1
350,5,related,0,1,0
350,6,baseline,0,4,0
350,6,repeated,4,4,1
350,7,baseline,1,1,1
350,7,baseline-foil,0,1,0
350,8,baseline,1,1,1
350,8,baseline-foil,0,1,0
350,9,short,4,4,1
350,9,short-foil,0,4,0
350,10,single,6,6,1
350,10,single-foil,0,6,0
350,11,baseline-foil,3,4,0.75
350,11,short-foil,1,4,0.25
350,12,baseline,0,4,0
350,12,short,4,4,1
350,13,baseline,1,4,0.25
350,13,single,3,4,0.75
351,1,related-late,2,3,0.667
351,1,related-early,1,3,0.333
351,2,baseline,0,2,0
351,2,related,2,2,1
351,3,baseline,1,2,0.5
351,3,related,1,2,0.5
351,4,repeated,0,1,0
351,4,related,1,1,1
351,5,repeated,0,1,0
351,5,related,1,1,1
351,6,baseline,1,4,0.25
351,6,repeated,3,4,0.75
351,7,baseline,1,1,1
351,7,baseline-foil,0,1,0
351,8,baseline,1,1,1
351,8,baseline-foil,0,1,0
351,9,short,4,4,1
351,9,short-foil,0,4,0
351,10,single,5,6,0.833
351,10,single-foil,1,6,0.167
351,11,baseline-foil,3,4,0.75
351,11,short-foil,1,4,0.25
351,12,baseline,3,4,0.75
351,12,short,1,4,0.25
351,13,baseline,2,4,0.5
351,13,single,2,4,0.5
353,1,related-late,2,3,0.667
353,1,related-early,1,3,0.333
353,2,baseline,0,2,0
353,2,related,2,2,1
353,3,baseline,1,2,0.5
353,3,related,1,2,0.5
353,4,repeated,0,1,0
353,4,related,1,1,1
353,5,repeated,0,1,0
353,5,related,1,1,1
353,6,baseline,1,4,0.25
353,6,repeated,3,4,0.75
353,7,baseline,0,1,0
353,7,baseline-foil,1,1,1
353,8,baseline,0,1,0
353,8,baseline-foil,1,1,1
353,9,short,2,4,0.5
353,9,short-foil,2,4,0.5
353,10,single,4,6,0.667
353,10,single-foil,2,6,0.333
353,11,baseline-foil,1,4,0.25
353,11,short-foil,3,4,0.75
353,12,baseline,1,4,0.25
353,12,short,3,4,0.75
353,13,baseline,1,4,0.25
353,13,single,3,4,0.75
354,1,related-late,2,3,0.667
354,1,related-early,1,3,0.333
354,2,baseline,2,2,1
354,2,related,0,2,0
354,3,baseline,2,2,1
354,3,related,0,2,0
354,4,repeated,1,1,1
354,4,related,0,1,0
354,5,repeated,1,1,1
354,5,related,0,1,0
354,6,baseline,2,4,0.5
354,6,repeated,2,4,0.5
354,7,baseline,0,1,0
354,7,baseline-foil,1,1,1
354,8,baseline,0,1,0
354,8,baseline-foil,1,1,1
354,9,short,3,4,0.75
354,9,short-foil,1,4,0.25
354,10,single,3,6,0.5
354,10,single-foil,3,6,0.5
354,11,baseline-foil,3,4,0.75
354,11,short-foil,1,4,0.25
354,12,baseline,3,4,0.75
354,12,short,1,4,0.25
354,13,baseline,3,4,0.75
354,13,single,1,4,0.25
355,1,related-late,1,3,0.333
355,1,related-early,2,3,0.667
355,2,baseline,1,2,0.5
355,2,related,1,2,0.5
355,3,baseline,1,2,0.5
355,3,related,1,2,0.5
355,4,repeated,0,1,0
355,4,related,1,1,1
355,5,repeated,1,1,1
355,5,related,0,1,0
355,6,baseline,2,4,0.5
355,6,repeated,2,4,0.5
355,7,baseline,1,1,1
355,7,baseline-foil,0,1,0
355,8,baseline,1,1,1
355,8,baseline-foil,0,1,0
355,9,short,4,4,1
355,9,short-foil,0,4,0
355,10,single,6,6,1
355,10,single-foil,0,6,0
355,11,baseline-foil,2,4,0.5
355,11,short-foil,2,4,0.5
355,12,baseline,4,4,1
355,12,short,0,4,0
355,13,baseline,1,4,0.25
355,13,single,3,4,0.75
357,1,related-late,3,3,1
357,1,related-early,0,3,0
357,2,baseline,2,2,1
357,2,related,0,2,0
357,3,baseline,0,2,0
357,3,related,2,2,1
357,4,repeated,0,1,0
357,4,related,1,1,1
357,5,repeated,1,1,1
357,5,related,0,1,0
357,6,baseline,1,4,0.25
357,6,repeated,3,4,0.75
357,7,baseline,0,1,0
357,7,baseline-foil,1,1,1
357,8,baseline,1,1,1
357,8,baseline-foil,0,1,0
357,9,short,4,4,1
357,9,short-foil,0,4,0
357,10,single,6,6,1
357,10,single-foil,0,6,0
357,11,baseline-foil,2,4,0.5
357,11,short-foil,2,4,0.5
357,12,baseline,1,4,0.25
357,12,short,3,4,0.75
357,13,baseline,1,4,0.25
357,13,single,3,4,0.75
358,1,related-late,2,3,0.667
358,1,related-early,1,3,0.333
358,2,baseline,2,2,1
358,2,related,0,2,0
358,3,baseline,0,2,0
358,3,related,2,2,1
358,4,repeated,1,1,1
358,4,related,0,1,0
358,5,repeated,1,1,1
358,5,related,0,1,0
358,6,baseline,0,4,0
358,6,repeated,4,4,1
358,7,baseline,1,1,1
358,7,baseline-foil,0,1,0
358,8,baseline,1,1,1
358,8,baseline-foil,0,1,0
358,9,short,4,4,1
358,9,short-foil,0,4,0
358,10,single,6,6,1
358,10,single-foil,0,6,0
358,11,baseline-foil,2,4,0.5
358,11,short-foil,2,4,0.5
358,12,baseline,3,4,0.75
358,12,short,1,4,0.25
358,13,baseline,0,4,0
358,13,single,4,4,1
359,1,related-late,3,3,1
359,1,related-early,0,3,0
359,2,baseline,0,2,0
359,2,related,2,2,1
359,3,baseline,1,2,0.5
359,3,related,1,2,0.5
359,4,repeated,1,1,1
359,4,related,0,1,0
359,5,repeated,1,1,1
359,5,related,0,1,0
359,6,baseline,0,4,0
359,6,repeated,4,4,1
359,7,baseline,1,1,1
359,7,baseline-foil,0,1,0
359,8,baseline,1,1,1
359,8,baseline-foil,0,1,0
359,9,short,3,4,0.75
359,9,short-foil,1,4,0.25
359,10,single,5,6,0.833
359,10,single-foil,1,6,0.167
359,11,baseline-foil,2,4,0.5
359,11,short-foil,2,4,0.5
359,12,baseline,3,4,0.75
359,12,short,1,4,0.25
359,13,baseline,1,4,0.25
359,13,single,3,4,0.75
360,1,related-late,2,3,0.667
360,1,related-early,1,3,0.333
360,2,baseline,1,2,0.5
360,2,related,1,2,0.5
360,3,baseline,0,2,0
360,3,related,2,2,1
360,4,repeated,1,1,1
360,4,related,0,1,0
360,5,repeated,0,1,0
360,5,related,1,1,1
360,6,baseline,2,4,0.5
360,6,repeated,2,4,0.5
360,7,baseline,1,1,1
360,7,baseline-foil,0,1,0
360,8,baseline,0,1,0
360,8,baseline-foil,1,1,1
360,9,short,3,4,0.75
360,9,short-foil,1,4,0.25
360,10,single,5,6,0.833
360,10,single-foil,1,6,0.167
360,11,baseline-foil,1,4,0.25
360,11,short-foil,3,4,0.75
360,12,baseline,2,4,0.5
360,12,short,2,4,0.5
360,13,baseline,1,4,0.25
360,13,single,3,4,0.75
361,1,related-late,2,3,0.667
361,1,related-early,1,3,0.333
361,2,baseline,2,2,1
361,2,related,0,2,0
361,3,baseline,0,2,0
361,3,related,2,2,1
361,4,repeated,1,1,1
361,4,related,0,1,0
361,5,repeated,0,1,0
361,5,related,1,1,1
361,6,baseline,1,4,0.25
361,6,repeated,3,4,0.75
361,7,baseline,1,1,1
361,7,baseline-foil,0,1,0
361,8,baseline,0,1,0
361,8,baseline-foil,1,1,1
361,9,short,2,4,0.5
361,9,short-foil,2,4,0.5
361,10,single,5,6,0.833
361,10,single-foil,1,6,0.167
361,11,baseline-foil,2,4,0.5
361,11,short-foil,2,4,0.5
361,12,baseline,2,4,0.5
361,12,short,2,4,0.5
361,13,baseline,0,4,0
361,13,single,4,4,1
362,1,related-late,2,3,0.667
362,1,related-early,1,3,0.333
362,2,baseline,0,2,0
362,2,related,2,2,1
362,3,baseline,0,2,0
362,3,related,2,2,1
362,4,repeated,1,1,1
362,4,related,0,1,0
362,5,repeated,1,1,1
362,5,related,0,1,0
362,6,baseline,0,4,0
362,6,repeated,4,4,1
362,7,baseline,1,1,1
362,7,baseline-foil,0,1,0
362,8,baseline,1,1,1
362,8,baseline-foil,0,1,0
362,9,short,2,4,0.5
362,9,short-foil,2,4,0.5
362,10,single,4,6,0.667
362,10,single-foil,2,6,0.333
362,11,baseline-foil,1,4,0.25
362,11,short-foil,3,4,0.75
362,12,baseline,1,4,0.25
362,12,short,3,4,0.75
362,13,baseline,1,4,0.25
362,13,single,3,4,0.75
363,1,related-late,1,3,0.333
363,1,related-early,2,3,0.667
363,2,baseline,0,2,0
363,2,related,2,2,1
363,3,baseline,1,2,0.5
363,3,related,1,2,0.5
363,4,repeated,1,1,1
363,4,related,0,1,0
363,5,repeated,0,1,0
363,5,related,1,1,1
363,6,baseline,2,4,0.5
363,6,repeated,2,4,0.5
363,7,baseline,1,1,1
363,7,baseline-foil,0,1,0
363,8,baseline,1,1,1
363,8,baseline-foil,0,1,0
363,9,short,4,4,1
363,9,short-foil,0,4,0
363,10,single,5,6,0.833
363,10,single-foil,1,6,0.167
363,11,baseline-foil,1,4,0.25
363,11,short-foil,3,4,0.75
363,12,baseline,1,4,0.25
363,12,short,3,4,0.75
363,13,baseline,0,4,0
363,13,single,4,4,1
364,1,related-late,1,3,0.333
364,1,related-early,2,3,0.667
364,2,baseline,2,2,1
364,2,related,0,2,0
364,3,baseline,0,2,0
364,3,related,2,2,1
364,4,repeated,1,1,1
364,4,related,0,1,0
364,5,repeated,1,1,1
364,5,related,0,1,0
364,6,baseline,2,4,0.5
364,6,repeated,2,4,0.5
364,7,baseline,1,1,1
364,7,baseline-foil,0,1,0
364,8,baseline,1,1,1
364,8,baseline-foil,0,1,0
364,9,short,3,4,0.75
364,9,short-foil,1,4,0.25
364,10,single,6,6,1
364,10,single-foil,0,6,0
364,11,baseline-foil,3,4,0.75
364,11,short-foil,1,4,0.25
364,12,baseline,2,4,0.5
364,12,short,2,4,0.5
364,13,baseline,2,4,0.5
364,13,single,2,4,0.5
366,1,related-late,1,3,0.333
366,1,related-early,2,3,0.667
366,2,baseline,2,2,1
366,2,related,0,2,0
366,3,baseline,1,2,0.5
366,3,related,1,2,0.5
366,4,repeated,1,1,1
366,4,related,0,1,0
366,5,repeated,1,1,1
366,5,related,0,1,0
366,6,baseline,1,4,0.25
366,6,repeated,3,4,0.75
366,7,baseline,1,1,1
366,7,baseline-foil,0,1,0
366,8,baseline,1,1,1
366,8,baseline-foil,0,1,0
366,9,short,3,4,0.75
366,9,short-foil,1,4,0.25
366,10,single,5,6,0.833
366,10,single-foil,1,6,0.167
366,11,baseline-foil,2,4,0.5
366,11,short-foil,2,4,0.5
366,12,baseline,2,4,0.5
366,12,short,2,4,0.5
366,13,baseline,3,4,0.75
366,13,single,1,4,0.25
367,1,related-late,3,3,1
367,1,related-early,0,3,0
367,2,baseline,0,2,0
367,2,related,2,2,1
367,3,baseline,0,2,0
367,3,related,2,2,1
367,4,repeated,1,1,1
367,4,related,0,1,0
367,5,repeated,1,1,1
367,5,related,0,1,0
367,6,baseline,0,4,0
367,6,repeated,4,4,1
367,7,baseline,0,1,0
367,7,baseline-foil,1,1,1
367,8,baseline,1,1,1
367,8,baseline-foil,0,1,0
367,9,short,3,4,0.75
367,9,short-foil,1,4,0.25
367,10,single,5,6,0.833
367,10,single-foil,1,6,0.167
367,11,baseline-foil,2,4,0.5
367,11,short-foil,2,4,0.5
367,12,baseline,2,4,0.5
367,12,short,2,4,0.5
367,13,baseline,0,4,0
367,13,single,4,4,1
370,1,related-late,2,3,0.667
370,1,related-early,1,3,0.333
370,2,baseline,0,2,0
370,2,related,2,2,1
370,3,baseline,1,2,0.5
370,3,related,1,2,0.5
370,4,repeated,1,1,1
370,4,related,0,1,0
370,5,repeated,1,1,1
370,5,related,0,1,0
370,6,baseline,2,4,0.5
370,6,repeated,2,4,0.5
370,7,baseline,1,1,1
370,7,baseline-foil,0,1,0
370,8,baseline,1,1,1
370,8,baseline-foil,0,1,0
370,9,short,3,4,0.75
370,9,short-foil,1,4,0.25
370,10,single,6,6,1
370,10,single-foil,0,6,0
370,11,baseline-foil,3,4,0.75
370,11,short-foil,1,4,0.25
370,12,baseline,2,4,0.5
370,12,short,2,4,0.5
370,13,baseline,0,4,0
370,13,single,4,4,1
372,1,related-late,0,3,0
372,1,related-early,3,3,1
372,2,baseline,1,2,0.5
372,2,related,1,2,0.5
372,3,baseline,2,2,1
372,3,related,0,2,0
372,4,repeated,1,1,1
372,4,related,0,1,0
372,5,repeated,1,1,1
372,5,related,0,1,0
372,6,baseline,0,4,0
372,6,repeated,4,4,1
372,7,baseline,0,1,0
372,7,baseline-foil,1,1,1
372,8,baseline,0,1,0
372,8,baseline-foil,1,1,1
372,9,short,2,4,0.5
372,9,short-foil,2,4,0.5
372,10,single,4,6,0.667
372,10,single-foil,2,6,0.333
372,11,baseline-foil,4,4,1
372,11,short-foil,0,4,0
372,12,baseline,1,4,0.25
372,12,short,3,4,0.75
372,13,baseline,1,4,0.25
372,13,single,3,4,0.75
373,1,related-late,0,3,0
373,1,related-early,3,3,1
373,2,baseline,1,2,0.5
373,2,related,1,2,0.5
373,3,baseline,1,2,0.5
373,3,related,1,2,0.5
373,4,repeated,1,1,1
373,4,related,0,1,0
373,5,repeated,1,1,1
373,5,related,0,1,0
373,6,baseline,1,4,0.25
373,6,repeated,3,4,0.75
373,7,baseline,1,1,1
373,7,baseline-foil,0,1,0
373,8,baseline,1,1,1
373,8,baseline-foil,0,1,0
373,9,short,4,4,1
373,9,short-foil,0,4,0
373,10,single,5,6,0.833
373,10,single-foil,1,6,0.167
373,11,baseline-foil,0,4,0
373,11,short-foil,4,4,1
373,12,baseline,2,4,0.5
373,12,short,2,4,0.5
373,13,baseline,2,4,0.5
373,13,single,2,4,0.5
374,1,related-late,1,3,0.333
374,1,related-early,2,3,0.667
374,2,baseline,0,2,0
374,2,related,2,2,1
374,3,baseline,1,2,0.5
374,3,related,1,2,0.5
374,4,repeated,1,1,1
374,4,related,0,1,0
374,5,repeated,1,1,1
374,5,related,0,1,0
374,6,baseline,3,4,0.75
374,6,repeated,1,4,0.25
374,7,baseline,1,1,1
374,7,baseline-foil,0,1,0
374,8,baseline,0,1,0
374,8,baseline-foil,1,1,1
374,9,short,3,4,0.75
374,9,short-foil,1,4,0.25
374,10,single,6,6,1
374,10,single-foil,0,6,0
374,11,baseline-foil,1,4,0.25
374,11,short-foil,3,4,0.75
374,12,baseline,3,4,0.75
374,12,short,1,4,0.25
374,13,baseline,0,4,0
374,13,single,4,4,1
375,1,related-late,3,3,1
375,1,related-early,0,3,0
375,2,baseline,2,2,1
375,2,related,0,2,0
375,3,baseline,0,2,0
375,3,related,2,2,1
375,4,repeated,1,1,1
375,4,related,0,1,0
375,5,repeated,1,1,1
375,5,related,0,1,0
375,6,baseline,1,4,0.25
375,6,repeated,3,4,0.75
375,7,baseline,0,1,0
375,7,baseline-foil,1,1,1
375,8,baseline,1,1,1
375,8,baseline-foil,0,1,0
375,9,short,3,4,0.75
375,9,short-foil,1,4,0.25
375,10,single,5,6,0.833
375,10,single-foil,1,6,0.167
375,11,baseline-foil,3,4,0.75
375,11,short-foil,1,4,0.25
375,12,baseline,1,4,0.25
375,12,short,3,4,0.75
375,13,baseline,1,4,0.25
375,13,single,3,4,0.75
376,1,related-late,2,3,0.667
376,1,related-early,1,3,0.333
376,2,baseline,0,2,0
376,2,related,2,2,1
376,3,baseline,1,2,0.5
376,3,related,1,2,0.5
376,4,repeated,1,1,1
376,4,related,0,1,0
376,5,repeated,0,1,0
376,5,related,1,1,1
376,6,baseline,2,4,0.5
376,6,repeated,2,4,0.5
376,7,baseline,1,1,1
376,7,baseline-foil,0,1,0
376,8,baseline,1,1,1
376,8,baseline-foil,0,1,0
376,9,short,1,4,0.25
376,9,short-foil,3,4,0.75
376,10,single,4,6,0.667
376,10,single-foil,2,6,0.333
376,11,baseline-foil,0,4,0
376,11,short-foil,4,4,1
376,12,baseline,2,4,0.5
